years_experience,education_level,job_role,performance_score,certifications_count,work_hours_per_week,salary
6.0,PhD,Data Scientist,1.7,0,43.3,121237.77
11.1,Bachelor's,Manager,3.0,2,36.7,143545.26
3.2,Bachelor's,Analyst,2.1,2,44.3,80250.13
16.1,Master's,Analyst,3.1,4,55.9,153824.95
2.0,Bachelor's,HR,1.4,4,34.3,61102.15
19.7,Master's,Data Scientist,4.2,4,33.4,186035.94
15.6,Bachelor's,Analyst,4.1,4,44.9,144012.33
4.4,Bachelor's,Manager,3.7,3,47.3,113429.17
0.6,Bachelor's,Software Engineer,3.1,0,38.3,84681.11
16.4,Master's,Software Engineer,2.6,3,54.4,163971.72
14.3,Master's,Software Engineer,3.7,1,34.1,148020.38
14.7,Bachelor's,HR,4.1,4,45.6,133380.33
15.5,Bachelor's,Analyst,4.2,4,46.7,148119.43
1.9,Bachelor's,Data Scientist,2.4,0,31.8,88066.06
7.5,Master's,Data Scientist,1.8,4,20.8,122678.06
2.8,Bachelor's,HR,2.4,4,53.1,81685.94
17.3,Master's,Manager,1.0,3,39.3,168756.71
12.7,Master's,Analyst,2.7,1,23.8,127678.2
7.0,Bachelor's,Analyst,2.1,3,58.3,95406.5
1.7,Master's,Manager,4.2,2,31.9,114944.62
6.6,Bachelor's,Manager,3.7,4,39.0,130039.06
6.8,Master's,Analyst,1.1,3,39.4,97870.51
14.7,Bachelor's,Analyst,1.6,0,34.8,121312.2
12.9,Bachelor's,Software Engineer,3.2,5,26.1,133115.52
17.8,Master's,Data Scientist,3.5,1,48.2,174391.98
9.7,Bachelor's,Software Engineer,4.1,5,27.8,125656.76
2.8,Master's,Software Engineer,4.9,1,47.3,105863.07
14.4,Master's,Data Scientist,3.8,0,52.1,157213.14
15.3,Master's,HR,3.2,0,20.9,141561.22
11.4,Bachelor's,HR,2.7,4,49.3,120449.23
15.5,Master's,HR,4.0,1,45.5,143775.14
10.1,Master's,HR,4.7,0,27.8,111339.57
10.7,Bachelor's,Manager,2.7,2,44.8,132780.43
8.8,Master's,Software Engineer,3.3,1,36.8,118537.82
1.0,PhD,Manager,1.8,0,23.4,107232.62
2.6,Bachelor's,Manager,4.4,3,40.9,109123.86
1.1,PhD,Data Scientist,3.9,0,58.9,115307.54
12.9,Bachelor's,HR,2.4,5,46.0,126017.25
6.6,Bachelor's,Analyst,4.5,1,33.2,89671.33
10.4,Bachelor's,HR,4.9,5,42.5,116664.71
18.2,Master's,Software Engineer,2.2,5,49.5,165286.6
5.4,Bachelor's,Manager,1.7,4,26.2,109881.8
8.5,PhD,Software Engineer,4.3,2,41.2,140781.7
15.2,Master's,Manager,3.3,0,40.3,168311.22
5.0,Master's,Manager,4.5,1,35.1,126699.48
2.0,Bachelor's,Manager,2.4,0,49.9,92686.17
6.2,PhD,Analyst,3.3,5,42.6,129712.01
3.6,Master's,HR,3.3,0,48.0,87960.22
18.6,Bachelor's,Manager,1.8,1,43.8,176547.92
16.3,Master's,Data Scientist,5.0,3,51.2,178858.3
12.9,Master's,Manager,3.7,1,45.4,164018.02
17.5,Master's,HR,3.7,1,47.1,155062.32
16.2,Bachelor's,HR,2.2,4,29.0,130179.34
4.1,Bachelor's,Analyst,3.6,0,53.8,84449.54
17.9,Bachelor's,Manager,4.3,0,26.2,170439.2
11.0,Bachelor's,Data Scientist,4.3,1,33.6,132118.98
16.2,Master's,Analyst,4.7,5,55.6,153161.34
18.0,PhD,Analyst,1.6,3,24.3,160897.23
6.7,PhD,Manager,1.7,4,54.7,145323.87
2.6,Master's,Manager,3.8,3,39.0,112090.08
4.9,Master's,Analyst,4.2,3,27.3,97432.06
8.8,Bachelor's,Analyst,3.7,4,49.5,113710.23
16.5,Master's,Analyst,1.6,5,31.4,150274.46
17.3,Bachelor's,Software Engineer,3.4,5,47.1,161001.48
0.6,Bachelor's,Analyst,4.0,4,51.6,79402.2
10.5,Master's,HR,1.5,3,42.8,116091.91
8.6,Bachelor's,Data Scientist,1.2,5,51.4,119141.42
4.8,Bachelor's,Data Scientist,2.0,3,57.4,104438.16
2.8,Master's,Manager,1.4,3,42.0,110275.1
7.1,Bachelor's,Analyst,1.6,5,26.1,95360.01
18.9,Bachelor's,Data Scientist,1.8,0,48.4,160433.68
6.8,Bachelor's,Data Scientist,3.1,0,36.4,110093.68
10.6,Bachelor's,HR,1.6,0,41.3,105351.47
14.2,Bachelor's,HR,3.4,0,45.1,126559.12
7.6,Master's,Software Engineer,2.2,5,48.7,114904.88
19.4,Bachelor's,Software Engineer,2.2,5,45.6,161073.32
19.3,Master's,Data Scientist,4.9,4,29.3,188228.36
5.4,Bachelor's,Manager,4.2,1,49.9,117221.09
10.2,Bachelor's,Data Scientist,2.7,5,52.3,138006.05
6.4,Master's,Manager,2.8,0,21.5,116987.82
6.1,Master's,Data Scientist,1.5,3,32.3,116960.45
1.2,Master's,HR,4.4,1,59.1,80621.91
12.4,PhD,Analyst,1.0,0,27.1,134210.72
10.3,Bachelor's,Data Scientist,1.6,2,27.3,117455.27
1.5,Bachelor's,Software Engineer,3.1,2,43.7,80472.02
5.9,PhD,Manager,1.8,4,33.5,135872.34
18.2,Bachelor's,Manager,3.5,2,46.3,170540.71
5.2,Bachelor's,Data Scientist,1.0,4,30.5,95207.97
3.3,Bachelor's,Manager,1.4,5,37.0,108123.14
10.0,Master's,Software Engineer,4.1,5,59.9,149637.29
19.7,Bachelor's,HR,3.3,4,34.9,152271.81
5.2,Bachelor's,Analyst,1.1,5,23.4,82448.2
13.6,Bachelor's,Analyst,1.8,4,49.7,122346.21
15.4,Master's,Manager,2.0,1,43.5,169038.02
5.1,Bachelor's,Data Scientist,4.4,1,37.8,105642.2
14.7,Bachelor's,Manager,3.3,2,56.3,157118.32
7.7,Master's,Software Engineer,3.2,1,25.9,118641.06
12.8,PhD,Data Scientist,1.3,0,39.6,144794.25
12.9,Master's,HR,3.6,4,27.7,132799.17
10.9,Master's,Software Engineer,1.6,0,23.3,122741.9
2.3,Bachelor's,HR,3.1,1,37.7,71007.83
16.8,Bachelor's,Data Scientist,3.4,5,57.9,160768.43
6.8,Bachelor's,HR,4.4,3,48.9,101072.88
4.1,Master's,Software Engineer,4.2,1,29.4,98422.4
1.3,Bachelor's,Software Engineer,1.8,4,38.5,81934.93
12.0,Master's,Manager,4.7,3,51.9,164972.42
13.7,PhD,Data Scientist,1.0,3,27.8,147715.7
0.8,Bachelor's,Analyst,2.3,4,28.1,68216.39
10.5,Bachelor's,Analyst,1.3,5,27.2,112533.54
4.9,Bachelor's,HR,3.9,2,44.3,85784.39
13.1,Bachelor's,Analyst,3.0,5,21.2,120985.77
3.9,Bachelor's,Analyst,1.7,5,43.5,82983.26
14.0,PhD,Software Engineer,1.3,5,53.0,151582.53
8.0,Bachelor's,Software Engineer,1.9,1,51.3,110674.72
18.8,Bachelor's,Software Engineer,4.7,5,46.7,175897.75
3.2,Bachelor's,Analyst,3.7,5,28.8,83732.9
7.2,PhD,HR,2.0,1,52.7,110406.99
2.7,Master's,Data Scientist,4.6,5,58.3,121861.68
18.5,PhD,Manager,1.5,3,27.4,194632.64
17.6,PhD,HR,3.8,3,56.4,171202.86
5.5,Bachelor's,Software Engineer,2.7,4,54.1,101962.9
13.4,Bachelor's,HR,2.1,4,59.2,130436.71
16.4,Bachelor's,Data Scientist,2.0,2,32.8,152827.63
11.3,Bachelor's,Software Engineer,3.0,5,57.4,136280.92
10.8,Master's,Data Scientist,4.7,3,27.2,146230.87
5.2,Bachelor's,Manager,4.0,1,27.0,118570.27
2.3,Bachelor's,HR,3.6,5,24.3,67868.96
18.0,Master's,Manager,4.5,4,37.1,189563.03
18.1,Master's,Analyst,3.3,5,20.5,155045.68
12.8,Master's,HR,1.8,0,35.3,122602.29
7.1,Bachelor's,Analyst,4.9,1,45.0,101333.2
7.3,Master's,Data Scientist,3.1,5,23.1,138165.12
14.7,Master's,Analyst,2.3,3,52.7,147248.57
18.0,Bachelor's,Data Scientist,4.1,4,31.7,163031.34
17.8,Master's,Manager,2.9,5,21.9,185963.8
15.7,PhD,Software Engineer,1.0,4,35.0,160513.18
13.0,Bachelor's,Manager,2.3,0,25.5,142018.15
2.1,Bachelor's,Analyst,2.8,2,51.8,77042.41
3.7,Bachelor's,Data Scientist,2.5,1,33.4,86272.59
18.0,Bachelor's,Analyst,3.2,4,24.7,145722.98
12.3,PhD,Software Engineer,1.7,2,38.1,142410.56
0.7,Bachelor's,HR,3.3,5,38.1,60166.17
2.5,Master's,HR,4.9,0,31.0,82478.1
13.4,Master's,HR,4.0,5,33.1,137374.87
0.6,Master's,Analyst,3.7,0,50.8,74931.31
3.6,Bachelor's,HR,1.8,1,45.5,77414.36
11.2,Bachelor's,Data Scientist,3.3,1,28.6,130658.15
14.0,Bachelor's,Software Engineer,4.3,4,57.9,151040.1
13.2,Bachelor's,Manager,2.0,4,32.2,150898.0
4.9,Bachelor's,Data Scientist,1.3,1,41.3,98545.41
14.4,Master's,Software Engineer,3.6,1,42.8,153529.17
5.1,Bachelor's,Manager,3.7,5,28.5,125279.47
6.8,Master's,HR,4.2,4,31.6,99239.62
15.1,Bachelor's,Manager,3.5,5,39.2,167668.94
13.2,Master's,Analyst,4.4,4,30.3,140364.09
17.1,PhD,Analyst,2.1,4,32.2,167340.31
13.3,Bachelor's,HR,1.1,0,44.5,114073.23
11.6,PhD,HR,3.9,3,49.4,139775.28
2.3,Master's,Data Scientist,2.5,1,52.0,106767.25
7.7,Master's,Data Scientist,1.8,0,24.9,115198.21
5.7,Master's,Analyst,1.2,4,49.5,102425.57
5.3,Bachelor's,Software Engineer,4.0,3,57.5,106331.41
19.5,Bachelor's,Data Scientist,4.3,3,43.2,176466.75
8.2,Bachelor's,Software Engineer,2.6,0,44.2,118101.33
17.9,Master's,Analyst,4.5,2,58.2,169381.41
12.8,PhD,Data Scientist,2.7,2,54.8,162714.97
16.0,Master's,Software Engineer,4.8,4,42.3,162765.17
10.3,Bachelor's,Software Engineer,4.9,5,50.6,145550.97
11.7,Master's,Data Scientist,4.3,5,27.2,145756.41
10.1,Master's,HR,2.0,2,36.5,113034.61
4.3,Bachelor's,Manager,2.5,5,48.6,117166.13
14.6,Bachelor's,HR,3.1,4,31.5,131375.53
6.0,Bachelor's,Manager,2.3,2,38.2,112865.54
1.0,PhD,Software Engineer,4.3,0,26.9,102612.03
13.1,Master's,Data Scientist,4.7,3,55.9,156170.23
4.0,Bachelor's,Analyst,4.9,1,55.8,99441.92
18.8,Bachelor's,Data Scientist,2.3,3,39.1,159833.38
19.1,Master's,HR,2.1,2,27.7,149765.03
18.3,PhD,Manager,1.6,3,47.2,194174.53
7.7,Master's,Data Scientist,1.2,2,28.5,116867.47
0.8,Master's,Manager,1.7,4,29.1,107433.66
18.6,Bachelor's,HR,2.1,1,58.9,149364.46
8.8,Master's,HR,2.6,4,24.0,111474.69
19.3,Bachelor's,Data Scientist,1.4,1,35.2,157414.33
19.3,Master's,Analyst,4.3,4,42.2,170838.09
17.1,Bachelor's,Analyst,3.5,5,24.3,140717.58
6.2,Master's,Manager,3.3,4,21.6,126403.16
8.0,Bachelor's,Data Scientist,3.2,3,41.7,119066.72
17.1,Master's,Software Engineer,2.2,1,24.6,159586.92
6.7,Bachelor's,HR,4.8,3,30.0,99149.06
3.8,Bachelor's,Manager,1.9,4,39.9,106651.0
11.4,Master's,HR,3.7,3,33.9,122495.01
18.8,Bachelor's,Manager,2.0,2,48.4,177337.65
14.1,PhD,Data Scientist,5.0,5,58.5,177839.33
11.6,Master's,Manager,4.6,4,50.1,167041.92
2.4,Master's,Manager,2.1,2,60.0,115220.3
12.5,Master's,Software Engineer,4.9,5,35.6,157288.29
19.8,PhD,Manager,3.5,4,32.2,200367.29
3.2,Master's,Analyst,3.9,2,28.5,89975.8
10.6,PhD,Manager,2.1,5,55.4,163621.24
17.6,Bachelor's,Manager,1.9,2,35.6,164737.9
14.9,Bachelor's,Data Scientist,4.4,4,48.4,155435.44
14.1,Master's,Manager,2.1,2,47.0,160470.06
14.2,Bachelor's,Software Engineer,4.7,1,22.3,136191.41
7.5,Bachelor's,Data Scientist,2.5,2,55.2,113450.23
6.2,Bachelor's,HR,1.0,4,39.5,88095.15
16.3,Bachelor's,Analyst,3.4,5,28.9,147095.85
16.3,Master's,Analyst,2.4,1,59.2,151267.73
17.4,Master's,HR,4.9,1,50.1,155987.55
18.3,PhD,Manager,2.5,1,44.7,191113.95
10.5,Master's,Software Engineer,2.3,3,59.5,142340.87
10.3,Bachelor's,Software Engineer,3.3,1,50.3,127878.66
16.1,Bachelor's,Software Engineer,3.9,5,24.8,143109.57
13.2,Bachelor's,Software Engineer,4.9,3,59.6,144561.6
14.2,Master's,Manager,1.3,5,43.9,162652.98
16.0,Bachelor's,HR,2.7,0,32.0,133974.86
17.9,Bachelor's,HR,3.7,5,52.7,154069.51
7.1,PhD,Analyst,1.0,2,21.9,102073.2
7.8,Master's,HR,3.0,3,46.2,112119.21
2.3,Bachelor's,Software Engineer,4.2,4,26.4,102819.85
11.8,Bachelor's,Manager,1.2,1,23.5,136794.76
1.2,PhD,Data Scientist,2.4,5,34.2,104662.63
9.6,PhD,Data Scientist,2.6,4,34.3,151166.93
11.1,Bachelor's,Software Engineer,3.9,1,44.0,130239.85
6.1,Bachelor's,Analyst,2.2,5,42.6,93475.67
12.0,Master's,Data Scientist,2.0,4,47.5,146695.26
1.1,Master's,Software Engineer,1.5,2,27.0,82631.9
1.2,Master's,Manager,5.0,5,54.8,118557.49
16.5,Master's,Data Scientist,2.9,2,54.3,163389.92
7.5,PhD,Software Engineer,1.2,0,28.7,116282.97
3.0,Bachelor's,Data Scientist,1.3,4,38.9,91629.18
10.7,Bachelor's,Manager,1.5,0,39.5,134481.02
15.5,Master's,HR,1.8,4,56.8,138306.32
4.7,Master's,HR,4.0,2,56.2,93872.07
12.6,PhD,Manager,3.2,0,22.7,162860.16
2.2,Bachelor's,Manager,4.1,1,58.3,106093.43
1.5,Master's,HR,1.1,5,22.7,71065.16
10.9,Bachelor's,Manager,2.1,5,42.0,138623.21
11.0,Master's,Manager,2.6,2,32.5,144618.19
12.9,Bachelor's,Manager,2.7,3,35.6,144630.33
14.7,Master's,HR,1.2,2,45.1,125203.5
19.5,Master's,HR,3.0,2,43.4,161279.34
10.6,Bachelor's,Data Scientist,2.1,3,26.7,126868.47
6.8,Bachelor's,HR,1.8,4,58.8,101314.13
16.0,Master's,Data Scientist,3.7,3,21.1,166029.18
5.8,Master's,HR,1.3,4,33.7,93248.55
9.1,Bachelor's,Analyst,4.5,0,52.1,114016.0
2.0,Bachelor's,Data Scientist,4.6,0,54.0,94406.08
1.0,Bachelor's,Manager,2.3,0,51.9,89519.95
19.3,PhD,Analyst,4.9,3,34.9,183072.44
16.8,Bachelor's,HR,2.6,4,46.9,141336.13
14.1,Bachelor's,HR,4.8,1,50.6,126762.83
8.5,Master's,Analyst,4.9,2,43.1,121868.05
3.9,Master's,Software Engineer,4.3,3,47.2,108211.89
3.6,Bachelor's,Manager,1.5,0,42.1,103550.53
5.4,PhD,Data Scientist,3.3,1,22.2,120081.02
11.2,Master's,Analyst,3.9,4,30.9,138060.57
14.4,Master's,Data Scientist,1.3,4,48.1,159686.95
13.4,Bachelor's,HR,4.6,4,29.7,123975.44
6.0,PhD,Software Engineer,4.4,3,38.2,126872.8
19.1,Bachelor's,Software Engineer,4.7,2,41.4,171367.74
14.9,Bachelor's,Data Scientist,3.1,2,46.8,150482.92
11.3,Bachelor's,HR,2.3,1,30.4,105360.15
12.4,Master's,Software Engineer,3.0,5,43.8,147781.52
8.7,Master's,Manager,3.9,0,43.9,141081.28
5.3,Master's,HR,2.7,5,53.8,105589.41
7.4,Bachelor's,Analyst,2.4,5,42.1,101480.28
15.3,Master's,Analyst,1.3,5,31.8,144134.57
0.8,Master's,Analyst,2.8,0,40.9,78435.67
2.8,Bachelor's,Manager,2.6,0,24.3,101533.77
1.4,Master's,HR,3.7,0,44.3,77827.75
1.3,Bachelor's,Data Scientist,2.8,1,56.6,89097.22
17.2,Master's,Data Scientist,1.0,1,41.2,162136.28
14.2,Bachelor's,HR,2.9,4,31.7,123794.0
9.7,Master's,Manager,4.1,3,36.2,149107.35
2.4,PhD,HR,4.8,2,56.1,98185.84
10.1,PhD,Data Scientist,1.8,5,52.5,152498.69
9.7,Bachelor's,HR,2.7,1,52.1,111287.15
3.9,Bachelor's,Analyst,4.4,5,42.6,86333.59
9.0,Bachelor's,HR,1.2,2,35.9,98872.07
8.3,PhD,Software Engineer,2.4,4,25.3,131633.62
12.5,Master's,HR,3.4,4,59.0,140999.68
12.9,Bachelor's,Data Scientist,2.4,5,27.2,140431.17
1.4,Bachelor's,Data Scientist,3.0,1,30.1,88204.27
7.8,PhD,Data Scientist,4.8,0,50.6,141600.88
12.7,Master's,Analyst,1.1,3,34.0,127491.55
10.3,Bachelor's,Data Scientist,1.3,2,43.4,126432.61
17.2,Bachelor's,Software Engineer,1.8,2,50.5,161612.1
13.3,Bachelor's,HR,2.5,4,42.2,120930.25
3.7,Master's,Manager,2.9,2,39.6,118182.15
1.9,PhD,Data Scientist,1.1,0,22.0,93901.89
13.0,PhD,HR,4.5,1,39.5,142694.29
1.0,Bachelor's,Analyst,4.0,3,38.2,73587.05
11.9,Master's,HR,2.1,3,55.2,122449.66
18.8,Bachelor's,Data Scientist,2.0,0,37.9,161211.11
11.7,Bachelor's,Data Scientist,1.1,2,45.2,129354.33
8.1,PhD,Data Scientist,2.6,0,50.9,132150.86
13.0,Bachelor's,Software Engineer,2.0,3,38.7,128081.22
9.4,Bachelor's,HR,3.5,0,30.4,104100.71
11.1,PhD,Manager,3.2,3,55.8,164832.1
18.9,Bachelor's,Software Engineer,4.8,2,55.8,179982.45
8.0,Master's,Manager,4.2,5,56.0,149062.29
19.2,PhD,Data Scientist,1.3,3,30.9,181805.26
18.2,Master's,Manager,3.8,0,32.6,180812.97
4.3,Bachelor's,Manager,1.4,4,56.8,105968.98
1.9,Bachelor's,Software Engineer,2.3,3,25.0,75448.7
2.5,Bachelor's,Software Engineer,3.2,4,46.2,98239.04
0.9,Bachelor's,HR,3.0,4,31.7,72241.0
2.3,Master's,Manager,3.8,4,48.9,115493.07
13.8,Bachelor's,Software Engineer,4.2,0,53.3,144452.09
1.9,Bachelor's,HR,4.3,0,36.3,76190.24
6.7,Master's,Manager,1.2,2,26.0,117247.81
17.0,Master's,Manager,3.6,3,49.3,183414.54
1.0,PhD,Data Scientist,4.8,5,22.2,111139.61
16.4,Bachelor's,Software Engineer,4.0,1,20.6,149080.33
6.0,Master's,Analyst,3.1,5,55.1,116300.59
2.8,Master's,Software Engineer,5.0,4,52.7,113232.17
14.1,Bachelor's,Data Scientist,1.2,3,43.3,143169.01
12.8,Bachelor's,HR,1.4,4,46.6,108944.6
17.6,Bachelor's,Software Engineer,4.1,5,58.1,170469.87
14.8,Master's,Manager,3.2,2,22.5,165156.43
16.2,Bachelor's,Analyst,1.5,0,28.7,137526.73
6.0,PhD,HR,2.5,5,49.2,115487.41
4.0,Master's,Software Engineer,1.3,5,30.6,99863.49
15.1,PhD,HR,3.1,1,28.3,153506.97
16.2,Bachelor's,Manager,1.4,5,37.7,162552.67
19.8,Bachelor's,Analyst,1.0,0,48.9,148481.63
8.5,Bachelor's,Manager,2.3,2,28.4,119448.04
7.8,Bachelor's,Analyst,1.9,2,37.2,94665.68
15.6,PhD,HR,2.4,4,40.8,149885.04
7.1,Bachelor's,Software Engineer,2.4,0,26.9,99999.91
18.6,Bachelor's,Analyst,3.5,0,39.1,143893.66
17.2,Bachelor's,Manager,3.7,1,54.6,165887.4
8.9,Bachelor's,Analyst,1.5,3,49.8,105186.24
15.1,Master's,HR,3.0,2,40.1,133598.0
15.2,Master's,HR,4.6,4,25.0,148411.38
2.5,Master's,HR,1.6,5,20.9,86411.86
18.1,Bachelor's,Software Engineer,4.9,1,22.7,160548.93
10.4,PhD,HR,1.1,5,50.0,129202.25
16.6,Master's,Software Engineer,1.4,0,48.2,145356.55
6.7,Bachelor's,Data Scientist,1.7,4,49.8,114557.59
18.0,Bachelor's,Analyst,2.9,2,32.3,145308.97
8.1,PhD,Manager,2.2,2,23.6,143785.58
0.7,Master's,Software Engineer,2.7,3,48.6,87136.52
18.2,Master's,Software Engineer,4.8,0,56.9,174009.21
2.3,Bachelor's,Manager,2.4,2,38.1,104294.11
6.7,Bachelor's,Analyst,4.4,4,50.6,103621.44
19.0,Master's,HR,1.3,4,49.1,154573.84
19.0,Master's,Analyst,4.2,4,54.1,175628.91
11.7,Master's,Software Engineer,4.6,0,21.1,140755.03
12.8,Master's,HR,2.1,0,58.2,130817.16
9.2,Bachelor's,Data Scientist,3.2,2,54.6,123663.45
6.2,Master's,Manager,1.7,3,55.1,128746.06
6.9,PhD,Analyst,1.4,3,59.9,113837.81
13.6,PhD,HR,4.1,3,45.6,145334.67
15.2,Bachelor's,Manager,3.5,1,23.3,152997.02
15.9,Bachelor's,Analyst,4.0,5,52.9,148467.54
15.9,Master's,Software Engineer,2.8,0,25.4,157778.24
2.3,Master's,Software Engineer,2.0,0,49.5,97326.67
10.1,Master's,Software Engineer,2.7,2,37.0,132459.15
1.6,PhD,Data Scientist,1.3,5,20.3,99661.7
11.2,Master's,Software Engineer,2.1,4,37.4,132149.51
9.1,Master's,Software Engineer,2.2,0,51.9,122873.9
17.8,Bachelor's,Software Engineer,3.9,3,23.5,159586.04
7.3,Bachelor's,HR,1.2,1,20.1,84802.1
2.8,Bachelor's,Manager,2.0,4,38.1,104178.94
3.3,PhD,Data Scientist,2.1,4,20.1,111847.64
15.3,Bachelor's,Analyst,3.2,1,57.4,138885.68
12.6,Bachelor's,Data Scientist,2.0,1,53.0,133597.27
2.5,Master's,Manager,1.5,0,45.2,99770.99
2.1,Master's,Software Engineer,2.0,1,20.7,85932.46
14.2,Master's,Software Engineer,2.7,2,42.8,150642.3
1.9,Bachelor's,Analyst,3.1,4,46.8,79248.63
16.5,Master's,Data Scientist,1.1,4,43.5,156701.67
14.3,Bachelor's,Data Scientist,2.2,3,57.9,147280.29
2.1,Bachelor's,Analyst,4.1,0,53.3,77007.47
2.2,Bachelor's,Data Scientist,3.4,3,34.6,98564.97
19.7,Bachelor's,Data Scientist,2.8,0,47.8,170256.66
7.8,Bachelor's,Data Scientist,2.8,0,38.4,100531.42
7.7,Master's,Analyst,2.5,5,57.1,117522.46
16.3,Bachelor's,Analyst,2.4,5,44.7,138643.1
19.0,Master's,Manager,2.6,0,43.3,177449.01
19.7,Bachelor's,Data Scientist,4.5,2,40.0,166241.2
15.2,Bachelor's,Manager,2.9,1,35.1,160576.65
7.8,Master's,HR,3.7,5,25.9,114782.57
2.1,PhD,HR,4.2,1,31.0,85850.56
15.7,PhD,Data Scientist,2.7,5,33.3,178736.17
11.4,PhD,Software Engineer,4.4,2,26.2,158350.73
8.8,Master's,HR,5.0,3,52.5,121273.74
18.2,Master's,Software Engineer,3.0,0,20.1,157806.61
2.7,Master's,Manager,2.6,2,56.6,115278.61
10.1,Master's,Data Scientist,4.2,3,25.1,144344.81
0.7,Bachelor's,Manager,3.6,1,22.0,96913.98
9.6,Master's,Manager,3.5,4,59.8,153269.26
1.6,Bachelor's,Analyst,4.5,0,60.0,76274.28
2.8,Bachelor's,Data Scientist,3.6,0,27.7,91711.92
2.8,Master's,Analyst,3.6,0,25.4,84889.94
13.2,Bachelor's,Manager,1.8,5,27.9,149256.6
15.0,Bachelor's,Software Engineer,3.8,1,40.5,143853.09
11.9,Bachelor's,Data Scientist,4.7,0,32.8,137326.91
19.3,PhD,Data Scientist,3.3,0,33.5,177644.02
7.8,Bachelor's,HR,4.6,5,52.4,110615.51
6.1,Bachelor's,Software Engineer,2.4,5,55.6,114015.61
17.4,PhD,Software Engineer,1.2,1,58.8,169999.26
4.9,Bachelor's,Manager,2.8,5,40.6,117972.95
